ride_month,station,lat,long,ride_count
1,Milton St & Franklin St,40.72906,-73.95779,1024
1,Monroe St & Bedford Ave,40.6851443,-73.95380904,448
1,Monroe St & Classon Ave,40.6845683,-73.95881081,359
1,Monroe St & Tompkins Ave,40.686203,-73.944694,309
1,Montague St & Clinton St,40.694281141397326,-73.99230033159256,787
1,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,500
1,Mott St & Prince St,40.72317958,-73.99480012,2134
1,Murray St & West St,40.7149787,-74.013012,1133
1,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,522
1,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,266
1,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,280
1,N 11 St & Wythe Ave,40.72153267,-73.95782357,353
1,N 12 St & Bedford Ave,40.72079821,-73.95484712,421
1,N 15 St & Wythe Ave,40.724055,-73.955736,227
1,N 6 St & Bedford Ave,40.71745169,-73.95850939,1617
1,N 8 St & Driggs Ave,40.71774592,-73.95600096,1420
1,NYCBS Depot - FAR,40.751483,-73.996764,4
1,NYCBS Depot - SSP,40.646768,-74.01651,68
1,NYCBS Depot - STY,40.729193,-73.976655,25
1,NYCBS Depot - STY - Valet Scan,0.0,0.0,2
1,NYCBS Depot BAL - DYR,40.759030082196055,-73.993858695030212,19
1,Nassau Ave & Newell St,40.724812564400175,-73.947526216506958,505
1,Nassau Ave & Russell St,40.72557,-73.94434,695
1,Nassau St & Navy St,40.69839895,-73.98068914,234
1,Norfolk St & Broome St,40.7172274,-73.98802084,1213
1,Norman Ave & Leonard St,40.7258483,-73.95064893,434
1,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,118
1,Old Fulton St,40.70277159,-73.99383605,567
1,Old Slip & Front St,40.7037992,-74.00838676,811
1,Pacific St & Nevins St,40.6853761,-73.98302136,344
1,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,101
1,Park Ave & St Edwards St,40.69608941,-73.97803415,156
1,Pearl St & Anchorage Pl,40.70281858,-73.98765762,643
1,Pearl St & Hanover Square,40.7047177,-74.00926027,881
1,Peck Slip & Front St,40.707873,-74.00167,1303
1,Penn Station Valet,40.751283596962296,-73.99692445993422,2618
1,Perry St & Bleecker St,40.73535398,-74.00483091,1287
1,Pershing Square North,40.751873,-73.977706,8795
1,Pershing Square South,40.751581,-73.97791,3360
1,Pier 40 - Hudson River Park,40.7277140777778,-74.011295735836029,1088
1,Pike St & E Broadway,40.71406667,-73.99293911,1261
1,Pike St & Monroe St,40.71173107,-73.99193043,556
1,Pioneer St & Richards St,40.6777748,-74.0094613,75
1,Pioneer St & Van Brunt St,40.679043,-74.011169,216
1,Pitt St & Stanton St,40.71926081,-73.98178024,431
1,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,794
1,President St & Henry St,40.6828003,-73.99990419,276
1,Prospect Park West & 8 St,40.66514681533792,-73.976376056671143,311
1,Prospect Pl & 6 Ave,40.6793307,-73.97519523,355
1,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,147
